GEO_ID,NAME,S2501_C01_001E,S2501_C01_002EA,S2501_C01_003M,S2501_C01_004MA,S2501_C01_005EA
Geography,Zip code,Total estimate of occupied housing unit,One person,Two people,Three people,Four People
8600000US01516,ZCTA5 01516,3151,599,1061,597,894
8600000US01518,ZCTA5 01518,1397,358,431,319,289
8600000US01519,ZCTA5 01519,2468,470,975,414,609
8600000US01520,ZCTA5 01520,5420,1092,1945,894,1489
8600000US01521,ZCTA5 01521,951,183,392,152,224
8600000US01522,ZCTA5 01522,1239,191,457,247,344
8600000US01523,ZCTA5 01523,2245,430,759,372,684
8600000US01524,ZCTA5 01524,2597,738,975,318,566
8600000US01525,ZCTA5 01525,94,46,12,17,19
8600000US01527,ZCTA5 01527,5330,1497,1660,1126,1047
8600000US01529,ZCTA5 01529,1158,207,446,181,324
8600000US01531,ZCTA5 01531,425,76,144,77,128
8600000US01532,ZCTA5 01532,5278,961,1875,993,1449
8600000US01534,ZCTA5 01534,2236,438,737,618,443
8600000US01535,ZCTA5 01535,1818,451,602,331,434
8600000US01536,ZCTA5 01536,2759,648,918,567,626
8600000US01537,ZCTA5 01537,880,245,277,153,205
8600000US01540,ZCTA5 01540,4323,1434,1062,699,1128
8600000US01541,ZCTA5 01541,1279,210,558,201,310
8600000US01542,ZCTA5 01542,828,125,319,204,180
8600000US01543,ZCTA5 01543,2904,482,964,520,938
8600000US01545,ZCTA5 01545,12853,2679,4080,2097,3997
8600000US01550,ZCTA5 01550,6926,2185,2516,1036,1189
8600000US01560,ZCTA5 01560,1712,436,472,359,445
8600000US01561,ZCTA5 01561,85,0,37,48,0
8600000US01562,ZCTA5 01562,4969,1540,1791,780,858
8600000US01564,ZCTA5 01564,2692,462,1049,280,901
8600000US01566,ZCTA5 01566,2220,354,874,450,542
8600000US01568,ZCTA5 01568,2725,398,957,618,752
8600000US01569,ZCTA5 01569,4817,997,1354,1221,1245
8600000US01570,ZCTA5 01570,6734,1979,2313,1182,1260
8600000US01571,ZCTA5 01571,3873,822,1368,698,985
8600000US01581,ZCTA5 01581,6682,1419,2074,1229,1960
8600000US01583,ZCTA5 01583,2055,539,786,313,417
8600000US01585,ZCTA5 01585,1887,512,809,266,300
8600000US01588,ZCTA5 01588,3739,1033,1238,530,938
8600000US01590,ZCTA5 01590,3341,656,1028,667,990
8600000US01602,ZCTA5 01602,9666,3248,3158,1555,1705
8600000US01603,ZCTA5 01603,7203,2357,1960,1279,1607
8600000US01604,ZCTA5 01604,14447,4768,3963,2690,3026
8600000US01605,ZCTA5 01605,10657,3585,2775,2020,2277
8600000US01606,ZCTA5 01606,8129,2724,2760,1406,1239
8600000US01607,ZCTA5 01607,3694,1360,1115,593,626
8600000US01608,ZCTA5 01608,1639,1011,291,95,242
8600000US01609,ZCTA5 01609,7401,3276,2276,689,1160
